vocabulary,chinese
nettlesome,烦人的；易怒的
harrowing,=distressing 指一段经历或者电影：折磨人的，令人感到难受／不安的
provincialism,=narrow-minded 思维狭隘的
foreordain,被（神或者命运）提前安排好了的
fastidious,=punctilious 对衣食住行一丝不苟的
overblown,=vanity 被空虚的事物所填充
opulence,奢侈的作风
the enormity of,特指罪行负面／恶劣的影响：极其恶劣的
ascetic,苦行僧似的生活
allusion,"要和illusion, delusion区分开来"
ramification,（不理想但可能出现的）后果
leach,液体（水）使得（化学物质／营养）从（土壤中）流失 leach away
worrisome,令人不安的
opaque,=unfathomable指某个语言：难以理解的
presage,=portend（某个事件）预示着一个不好的结果即将发生
bolster,支持，支撑
forestall,提前阻止某个事件/行为的发生
escalate,指价格或冲突，争论：升级，严重化
distinctive,有趣的
anchor,=fix固定
soothe,缓和，镇定某人的情绪／痛觉
rationalize,通过合理的逻辑去justify另一人的行为或态度
deflate,让某人突然失去信心或者自信
innocuous,指人：人畜无害的 指语言：不伤人的
aberrant,(尤其代指科研中的发现或者文化形态) 异于常态/主流的
placid,指某人／动物：温顺的；指某个环境／湖泊，水域：波平浪静的
diffident,指人：因缺乏自信而显得小心翼翼地
implacable,指人：难以满足其放弃做某事的条件的
tenacious,紧紧的（物理意义上的抓住）；或者不放弃某个职位，原则，行动
bewilder,使人感到迷茫 =baffle
nonchalance,漠不关心的一种状态
tweak,改进，改动
discredit,使丢脸
unfounded,无根据的
pious,（贬义）道貌岸然的
sentiment,"1. （常用于由偏好或个人情感而形成的）观点 an opinion,attitude or thought(prompted by"
spark off,通过刺激某个关键的时间／过程：引发
preachy,=didactic 带有某种高高在上的说教式的；觉得自己的观点是正义的而强加给别人的
preach,在教堂里面布道
querulous,
sanctimonious,=self-righteous占据道德高地指责别人的
bumble,
tinker with,
taciturn,(指某人)孤漠寡言的，比reserved更加严重的
reserved,=taciturn 言语不多的
garrulous,贬义）话多的
ballyhoo,大肆宣扬一些本身很无聊的事情
quip,
pensiveness,沉思的心态
drollness,
congeniality,指某个人：意气相投的；指某个事物：符合个人口味的
subtle,指某个变化或者差别：由于精妙难以区分的，难以分辨的
sustain,=support支撑着某人一路走下去（的身心）=suffer遭受某种身心上的伤害；
discount,=disregard低估，看低某个人／概率／事实
ogre,又庞大又笨拙的食人怪
egalitarian,平等主义的
regal,皇家的
anachronistic,过时的=old-fashioned
hypocritic,装作自己很高尚，有远见的
visionary,指一个人有远见的
inertial,难以改变的
overhaul,全面大修某个机器
calculated,指某个行为：被提前精心安排好了的
opprobrious,指一个语言): 无礼的: 
platitudinous,（指一个言行或者发表演讲）陈词滥调的
pugnacious,=truculent好斗的
supercilious,自大的
pedagogical,与教学有关的
inexplicable,难以用正常思维去解释的
restorative,具有疗养效果的；令人精神一振的 =recuperative
conscientious,指人：有良心的
salient,最重要而且显著的点
tonic,使精神振作的
rigorous,（环境）异常恶劣的
gravity,"2. (局势,时态的)严重性  the extreme and worrying seriousness of a situation"
unflinching,坚定的，不妥协的
slapdash,指某件事情：被草率完成的
astuteness,精明的
nondescript,某个事情：非常庸常的 没有突出特征的
discernment,判明，明辨
intoxication,沉醉于某个酒精里面
debut,首次露面
propitious,有前途的，令人欢喜的
accountability,性价比
disarray,完全的混乱
unruliness,毫无章法的
warble,啭鸣
bleak,昏暗地令人难受的
zenith,指天体：到达顶点的
croon,柔情地轻轻唱歌
caterwaul,猫咪：尖叫
overture,开幕曲
jarring,
conciliatory,安抚的，调解的
edifying,教诲的，启示性的
manage,成功应对 succeed in  accomplishing : contrive（to do sth）
transcend,超越，越过
coalesce,指事物：逐渐归聚到一起而形成单一的一片
histrionic,太过戏剧性的
munificent,慷慨的
feckless,无效的，不称职的
linger on,指疾病／负面感情：延续多年
univocal,指理解：只有单一意思的
slacken,放松某个事物的紧张程度
panacea,万能的灵丹妙药
revisionist,修正主义
extravagant,极端奢侈的
minuscule,微小的
precarious,不稳定的
sectarian,宗教，帮派之间的（争斗）
baroque,复杂的
sychophancy,阿谀奉承
competing,想法相互抵触的
obeisance,尊敬
preclude,阻止某事发生
privation,极度贫穷
hostile to some idea,指人：对某个思维非常抵触的
profusion of sth,大量的
stern,指某人或者他们行为：因权威或者遵守纪律而显得严肃但是无情的
prescient,有先见之明的，预知某件事情即将发生的
specious,看起来合理的，但实际上错误的
perfunctory,应付般的，未花任何努力或者思考的
anonymous,无任何明显个人特征的
scathing,指某一段经历或者批评：伤人的
confessional,
anecdotal,"（无可靠科学根据根据的）轶闻的 : Anecdotal evidence is based on individual accounts,"
enchanting,迷人的
encomium,在正式仪式上的赞词
exalted,指职位，角色：地位高的
exalt,抬举某人
valorous,有勇气的
excoriate,程度最严重的：责备 =censure
trickster,=swindler 骗子
quandary,指做选择：进退两难的困境
ploy,计谋，计策
censorious,指人：咄咄逼人的
pedantic,老学究的，咬文嚼字的
panache,have a panache: 指人的外表：很有型
panoply,一整套令人印象深刻的事物
elusive,难以捉摸的，难以达到的
marketable,畅销的，受欢迎的
raging,非常严重的
elitist,自视甚高的
upsurge,某件事情程度或者数量突然增加
respite,暂缓某个判决／义务的执行
amalgam,某种东西的混合物
encyclopedic,指知识，学问：知识面广的
eminence,显赫名声的
tenacity,固执的
elephantine,笨拙的
synopsis,摘要
awry,指事情，一段关系：未按照正常方向发展的
languishing,虚弱的
remuneration,报酬
jettison,2. 拒绝 to get rid of something : to reject something
unimpeachable,完全值得信任的，无可置疑的（人或信息或事实）
punctuate,"1. 强调 accentuate, emphasize"
unassuming,谦虚的
acerbic,犀利的，尖锐的
ingenuous,指人或行为：天真无邪的; 涉世未深的
ingenious,指人：心灵手巧的; 指机器或idea：设计精妙的
modest,"(数量、比率或改进幅度等) 较小的 You use modest to describe something such as an amount,"
seditious,指人：对抗当局／政府的
mawkish,古英语：贬义：多愁感，无病呻吟的
emotive,能引起人们的强烈的感情的
remunerative,能持续产生可观利润的
ramshackle,指房屋：摇摇欲坠的
forge,1.努力地缔造  If one person or institution forges an agreement or relationship with
snag,凸出来的障碍（字面和象征义均有）
hitch,阻碍，问题 作为名次是钩子 without a hitch就是“顺利进行”的意思
upshot,指某件事的结果
sluggish,slug软体虫 松懒无力的
skirt around,游走于边缘；避免正面冲突
demoralize,使某人气淚
galvanize,刺激某人做某事
replete,喂到饱，喂到满足
doomed to,注定会…
tenure,任期
foster,培养，培育
animate,有活力的，活生生的
egregious,十恶不赦的
empirical,非理论但实践性的 反义词：thereotical
prognosis,1. (尤指对病人能否康复的) 病情预判 a doctor's opinion about how someone will recover from an
auspicious,1. 有望成功的 showing or suggesting that future success is likely
spontaneous,指人天真率直的
unsetting,
anciliary,必要的辅助
unbridled,毫无限制的
fanciful,=fantasy = fancy
scrupulous,"极其仔细认真的;1. 有道德原则的，正直的 Someone who is scrupulous takes great care to do what is fair,"
jejune,无聊乏味的
dogmatic,遵循死规矩的
parochialism,狭隘主义
purport,标榜，（虚假的）声称  to claim to be or do a particular thing when this claim may not be true
erratic,难以预测的
surfeit,过多的，多余的 an overabundant supply : excess
conundrum,难题
revelation,
transparent,易懂的
bar,阻止
rudimentary,发育不成熟的
conjure up,=bring to mind使想起
strip away,
halfhearted,无兴趣的
condemn,迫使某人陷入不利的状况: condemned to death
condone,饶恕，允许
inert,不能动的
jubilant,因胜利而兴高采烈
enervated,缺乏生机
circumscribe,限制
proselytizer,主动或者劝他人眫依宗教
import,重要性: import of her message
accession,登基／就职
laconic,言简意骇的
befuddled,=bewildered=confused=lost
inveterate,习惯性的，根深蒂固的
conjectural,推测的
derivative,缺乏创新的
theatrics,戏剧化的言行
hidebound,墨守成规的
embolden,vt: 怂恿某人去做某事，给…壮胆
lambaste,谴责
stale,乏味的，缺乏新鲜感的
circumvent,绕过
teem,充满了
roll,惹怒某人
barring,=excepting，除...之外
anthropogenic,和人类起源有关的
molder,逐渐腐烂，变成碎片
recant,收回之前所说的话
encomium,赞语
aver,正式宣布
avow,公开宣布
concomitant,伴随
august,庄严的
chum,英式英语：伙伴
flout,因为长期的忽视而腐败／破碎
oblivious to,没意识到
countermand,撤销（命令或者裁决）
protract,vt 延期…计划／行程表
spum,
provocative,                                                             刺激性的
stymie,阻止某事的发生
aggrieve,给某人带来痛苦
rant,大力地，带有感情的说
exculpate,赦免
disquisition,博士论文
jejune,幼稚的，无聊的话题／八卦，没有精神／智力营养的
insouciance,漫不经心
abstemious,克制自己的 不要和神秘的搞混了
adjudicate,正式判决 担任法官的职责去判决/评论某事 adjudicate on something
bog down,被...所缠身 bog down in detail拘泥于细节
perish,缓慢地死亡／凋零
encounter,与某人邂夠
predate,先于...存在／发生
indescretion,commit an indiscretion 不理智的行为
mundane,枯燥无味的，世俗的
ebullient,(短期或长期)充满热情的
measured,沉着的（步伐，神态），有分寸的（企图／玩笑）
rudimentary,未成熟的
offset,抵消
dour,阴沉的
tepid,不太热情的; 冷冰冰的
champion,赢家；…的坚定支持者
hamstring,削减某人／某物的实力
puerile,幼稚的
excoriate,比censure还要严重的谴责
hew to,遵守
veil,掩盖
mien,神态
assiduous,指人：连贯一致地努力，细心的 指活动：需要细心的努力
retrenchment,=downsizing=curtailment 削减资金
nebulous,物理上或概念上：模糊的
overblown,过度的（焦虑／恐惧／显摆装饰）
oversell,超卖；夸张的推销或吹嘘
extirpate,斩草除根
efficacious,真正有效的
misfeasance, 渎职；利用职位之便进行不法行为
salutary,效果好的
controvert,争论
pious,指外表：看起来虔诚的。devout也是虔诚的，但是是内心中真正虔诚的
sustain,（法律）用证据证明／支持某个观点
stupefaction,麻木状态
blatant,（指某事或某种行为r）嚣张的，毫不掩饰的
worldly,（为人处事）有经验的
diverting,有趣的=intriguing
culpability,有罪的
indiscriminate,混合的 = heterogeneous 不加分辨的，不加选择的
iconoclastic,指人或社会变化：破除旧规的
fret,坐立不安；因一点小事而被激怒
outlandish,特别标新立异的（不用来指外国人）
torpor,沉睡，无能量无反应的状态
sway,指人或决定：被他人所左右的；指物理运动：摇摆
defy,拒不服从（法律或规则）
conclusive,指证据：结论性的，无可置疑的
rehash,特指艺术作品：重复利用之前的形式的
subversion,颠覆
espouse,支持，赞成
liken,人指出某两件事物的相同之处
dilatory,拖拉的
quell,完全镇压 = quench；减轻…程度
particularize,=elaborate=specify具体说
backhanded,（恭维话） 讽刺挖苦的; 假惺惺的
deadlock,僵局
malleable,金属：容易被塑造成形的
impeccable,=flawless
underlying,=fundamental 根本的
tantamount,等价于
proscription,禁令
ministration,=help = service 在最困难时候的帮助
exculpation,=exonerate 赦免罪名
imprudence,不精明，不谨慎
uncanny,不寻常的
aggrandize,使某人／某个团体的影响力／财富／名气增加
self-aggrandizing,喜欢炫耀自己的
emergent,新兴的（技术），正在变得重要／牛逼的
valediction,毕业结业演讲词
effluvia,古英语：恶臭的气体
malodorous,=stinky臭气熏天的
redolent,redolent of sth. 令人回想起以前某个事物的 芳香的 
anodyne,止痛的
pecuniary,以钱为形式的（补偿或者价值）
formulaic,缺乏创新的，传统迂腐的
unbound,=unbridled没有限制的 没有封面的
milieu,社会环境
eschew,躲避某事
cede,割让；拱手让人
experimental,革新性的（艺术作品）
obscure,没有名气的
a priori,基于假设而非观测到事实的
vitiate,使某个合同／协议无效 使某个人腐败，堕落
inexorable,(贬义)难以打动的，顽固不化的
evident,明显的
disgorge,(metaphorical) emptying out清空 (physical) puke反刍
entail,指某个事物：带来某种后果，通常是某种义务或者额外的成本
anew,以新的形势重现展现／发生
gossamer,轻薄的，异常精致的
truism,显而易见的真相（废话）
offish,缺乏热心的
jockey,马术比赛的骑马选手 某种机器的操作师
slump,下滑
spate,一大票
consolidate,收集到一处／一捆
moderate,温和的
square, 与...一致
promote,to help sth to happen or to develop
inspire,cause sth to happen or be created
conform,=obey/agree with与传统／法则相容的
dispel,
concede,不情愿的承认失败
ponder,深思某件事情
poignant,尖酸刻薄的，切中要害的
lament,= express sorrow 哀悼
hedge,=qualify (保护性地) 限制，阻碍某物
frown,表现出不喜欢的态度
enamored,be enamored of （病态）痴心于…的
expeditious,又快又好的
pecuniary,以钱币形势的
scrupulous,~punctilious 顾前顾后的
mendacity,经常撒谎的品质
artless,天真无邪的
artful,狡猾的
polish up,改进 =refine/improve
trope,比喻 = puns +metaphor+simile
euphemism,委婉的说法
paper,paper over掩盖，遮盖
sacrosanct,极其重要的需要重点保护的(事件／一段时间)
sanctimonious,表现出极度的虔诚
vivacity,生命力
avert, 躲避
multifarious,=multiple facets 具有多种角度的人或者事物
conducive,能带来（某个好的结果的）
spew,喷出
quiescence,平静期
quip,听起来聪明的即答
tout,吹捧
blatant,肆无忌惮的，嚣张的
chastise vs castigate,
bootless,不起效的
competing,"1. (想法、要求或利益)相互矛盾的; 相互抵触的 competing stories, ideas etc cannot all be right"
hamper,=slow going 使发展／过程缓慢，但不至于到停滞的地步
deprecatory,指评论：负面的，不认同的
guild,"无效果的, 徒劳的; of little or no use; vain; fruitless : inefective , futile"
detract from,（贬义）减弱或减小（价值／人品）
naivety,天真烂漫
paralyze,使不起作用
germane,指事物：密切相关的
implication,"1. 可能的影响 a possible future effect or result of an action, decision, etc."
at a premium,指物品：供不应求的
undisciplined,(指人) 不守纪律的
flabbergasted,被（好的或坏的事物）震惊到连话都说不出来的
intrepid,=dauntless=courageous 对陌生事物的无所畏惧
infelicity,不合适的评论或者表述
sycophantic,指人：善于溜须拍马的
balk,拒绝去做某事
revel,陶醉，沉迷
dissident,指持有不同政治观点的异见者
prosaic,平淡无奇的
instigate,煽动引起某一起冲突
cachet,=prestige声望 封信件口的蜡
randomly,随意的
occlude,医学：梗塞，阻碍
stun,把某人击晕；令某人吃惊
precursor,某件事情的先兆
chimerical,天马行空的想象
revival,复兴：重新变得知名／重要的
rarefied,只有少数人能理解的
dismiss,不予理会
assertiveness,心理学：能诚实的，自信的表达自己的观点的（并且不显得具有侵略性）
plain,语言或者表述：清楚的
peripatetic,指人：喜欢进行长途跋涉的（步行）
itinerant,指人：因为工作而马不停蹄的
buttress,增强，强化 buttress sth with sth
abject,程度最重的：凄惨的，不幸的，卑下的
trepidation,正式书面用语：对于即将到来的威胁的恐惧
ameliorate,减轻（不适或者痛苦） 改善某个恶劣的情况
slight,adj.微不足道的 vt. 轻视，忽略
snub,带有鄙视的：对某人不屑一顾
adjunct,额外附加的（不属于原来整体的）
explicitness,指语言／表述的明确性
devious,狡诈的，喜欢骗人的
porous,多孔的；有机可乘的
concision,指语言或表述：简单明了；精简性
prolixity,冗长，罗嗦
revile,be reviled: 被多数人所痛恨的
requisite,正式书面用语：必需品
obviate,杜绝（事件发生）；消除对于某物的需求
germane,=relevant相关的
exhaustion,身心俱惫
groan,发牢骚
impalpable,难以通过语言解释的
amorphous,不具备具体形态的，无定型的
exiguous,指数量：极少的
insalubrious,正式用语：对健康有害的
obsequious,正式用语：指人：献媚的
intractability,倔强的个性
lambast,苛责
flighty,缺乏稳定性的
facile,褒义：不费吹灰之力的（有技巧的being facile） 贬义：敷衍了事的
ethereal,轻缈的，飘忽不定的
tortuous,指道路：绕来绕去的 指语言：极其复杂的 
protract,延长时间
abash,使某人羞愧，尴尬
hubristic,傲慢的
officious,贬义：好管闲事的
irenic,=peaceful eirene是希腊和平女神
dutiable,指商品：应征税的
seminal,有创造力的，对未来有影响的
sporadic,零星的，短短续续的
sordid,指人的行为：下流奸邪的，极度不诚实的
fraught,贬义：充满着（不好的事物）
elemental,最基础的
spiteful,指人：心怀恶意的
emulsify,乳化液
denigrate,诽谤某人，无论是故意的还是不实的
petrify,吓得某人麻木了
exuberant,指人：热情洋溢的
obduracy,坚决顽固的
temper,使 。。。缓和
upheaval,指社会或者政治：剧变
bombshell,爆炸性事件; 令人吃惊的事;
frivolous,特指诉讼：无关紧要的浪费执法资源的 指人：混日子的，无所事成的
vista,西班牙语：景观
self-effacing,指人：不愿被过分聚焦的，低调的
interminable,=incessant 贬义：无休无止的
rebuff,书面英语：有意的反对行为
squelch,完全镇压／摧毁某件事情／思想
smother,压制，抑制；步步紧逼，不给别人留太多个人空间／隐私
embrace,"2. 包括 to take in or include as a part, item, or element of a more inclusive whole"
deluge,"使充满；压倒；将某人沉浸在....中 overwhelm, swamp"
consort,与....结伴
kinfolk,有血缘关系的家属
disparateness,迥然不同(或无法比较)的人(或物)
approbation,正式用语：赞同，认可
jeremiad,=complaints 又长又悲伤的吐苦水
gaffe,当众尴尬
obloquy,在公众面前被指责
feckless,=incompetent 指人：无责任感的，不称职的
munificent,贬义：过度的：慷慨的 =extremely (foolishly) generous
congruent,指思想和行为：一致的
inert,不能动的
paucity,某种事物的缺乏
stalwart,指人：忠诚的 = loyal
recapitulate,总结
venal,指动机，行为，人：贪污腐败的
cinch,
secure,
emendation,修正
substantiation,证实（argument或者fact）的过程
protean,变化莫测的
prominent,表现突出的
glut,经济学：过度的（供给） 暴食
hortatory,=encouraging
lurid,极度重口味的，容易引起观感不适的血腥的
largesse,出手非常大方的
beatify,宗教：给死去的人行宣福礼 为…赐福
abeyant,暂时停用／搁置的
flagrant,恶名昭著的
crassness,愚钝；粗俗
compartmentality,
scaremonger,造谣者; 扰乱民心者
vindicate,=justify 证实真实性／无罪
quibbler,吹毛求疵的人，怨声怨气的人
rally,在最后关头振作精神；从疲惫中重新恢复勇气
serendipity,=good luck 偶然发现好东西的好运
acquired,后天获取的
lucidity,语言表述的明确性
recondite,晦涩的
deft,指双手或者身体部分：灵活的
finicky,=fastidious = meticulous
petulant,指人或举止：暴躁的
demur,法律用词：拒绝请愿
memento,令人回忆往事的东西
trenchant,犀利的，一针见血的
heretofore,古英语：迄今为止
snappish,指人或者言语：说话暴躁的
umbrage,因被冒犯而生气
virtuosity,大师级别的实力或者技巧 =very high level of skill
untether,将…从束缚中解放出来
attune,be attuned to 了解某事物并且适应它
hackneyed,指小说或者故事情节：无聊透顶的
transgress,=trespass 越过（物理或着法律的）边界
polymathic,博学的
incongruous,和其他东西不合拍的，不兼容的
fleeting,转瞬即逝的
outdo,超过对手
parsimonious,=penurious 吝啬的
felicitous,指某件事：适当的令人愉快的；幸运的
astringent,收敛性的
cavalier,傲慢中带有一些鄙视的
unkempt,特指头发：邋遢蓬松的
grumble,低声抱怨
fluster,=cause to be nervous or upset 使感到不安
flummox,被非负面的事情所困惑
subservient,唯命是从的
adroit,聪敏的，有技巧的
demarcation,地理上或分类学中的分界线
wistful,=pensive=melancholy 特指在回忆以往时的一种后悔的心情：如果自己当时能那样就不会导致现在这样了
whimsical,指行为：易受到随机念头影响的
comportment,得体的举止
backwater,一滩死水；指地方或状态：毫无发展的
coveted,被许多人梦寐以求的
garb,外装
upbeat,（过度）乐观的
salacious,（指新闻或者八卦）桃花性的
aghast,吓得脸都白了
maudlin,催泪的，令人潸然泪下的
fawn,争宠，讨人喜欢
unflappability,镇定的神态
nurturant,正在抚养／给予别人的养育的
puncture,刺入
opprobrium,因作出某事而感到的耻辱
vituperation,谩骂
lucubration,=cogitation 苦心而成的著作 刻苦钻研的努力
panacea,没有实际作用的药或者解决方案
culprit,culpable 罪犯
eclectic,包罗万象的，混合许多不同种类的
spurious,1. (论据、推理) 不正确的 based on false ideas or bad reasoning
preponderance,数量上的优势
annihilate,彻底击败
bemoan,=moan 
disinclination,unwillingness不情愿（去做某事）
deadpan,指人面无表情的，尤其是在喜剧演员故意在说笑话的时候面无表情，使得笑话更好笑
plod,=trudge 吃力地跋涉；辛勤地工作
entreat,恳求某个重要的事情，特指请求赦免一死
wariness,褒义：恰当的谨慎
captivating,指某个事物或人：有魅力的
vehement,指力量或者感情：强烈的 常用于描述人们对某物的抵触情绪
insipid,指食物：无味的 指人：无趣的
placatory,=mollifying=conciliatory 指行为或者言辞：带有安抚作用的（伴随着让步）
captious,=cavil=fastidious=meticulous 指人的本性：吹毛求疵的，喜欢蛋里挑骨头的
palliative,=alleviate temporarily 仅仅起临时效用的：镇静剂 指解决方案：没有实质作用的
spurn,不屑一顾地拒绝（请愿或者提议）
cliquish,搞小团体的，对团体外的人不友好的
solidarity,solidarity with sb. 特指政治团体或者联盟：团结一心的状态
camaraderie,=solidarity 指一个工作团队：同志[同事]情谊
bemuse,=confuse 贬义：故意让（别人）对一件事感到困惑
abound,=abundance 某物大量存在
evocative,指某个事物：能唤醒对以前的一段回忆的
blithely,不带任何顾虑（不顾他人感受）地感到快活（贬义）
obtrusive,容易引人注目的（贬义）
prodigy,奇才，自幼就展现天赋的
polymath,指人：多才多艺的，涉猎领域广泛的
tyro,在某个领域的新手，新入行的人
ante,ante up 提前预付款
promulgate,=promote 宣传推广；正式宣布法律生效
genealogy,系谱学；家系
